"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "CSS", "XML", "C++", "Objective-C", "Shell Script", "Java", "comment", "blank", "total"
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/019-play.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/020-film.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/021-video-camera.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/022-dice.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/023-pacman.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/024-spades.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/025-clubs.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/026-diamonds.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/027-bullhorn.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/028-connection.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/029-podcast.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/030-feed.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/031-mic.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
